join_id,user_id,act_id,datetime
1,2,1,2023-06-27 07:00:00
2,15,1,2023-06-27 07:00:00
3,18,1,2023-06-27 07:00:00
4,19,1,2023-06-27 07:00:00
5,24,1,2023-06-27 07:00:00
6,37,1,2023-06-27 07:00:00
7,61,1,2023-06-27 07:00:00
8,64,1,2023-06-27 07:00:00
9,69,1,2023-06-27 07:00:00
10,2,21,2023-06-30 18:00:00
11,16,21,2023-06-30 18:00:00
12,46,21,2023-06-30 18:00:00
13,64,21,2023-06-30 18:00:00
14,65,21,2023-06-30 18:00:00
15,70,21,2023-06-30 18:00:00
16,71,21,2023-06-30 18:00:00
17,84,21,2023-06-30 18:00:00
18,7,22,2023-06-30 19:00:00
19,70,22,2023-06-30 19:00:00
20,37,31,2023-07-01 18:00:00
21,75,31,2023-07-01 18:00:00
22,78,31,2023-07-01 18:00:00
23,83,31,2023-07-01 18:00:00
24,85,31,2023-07-01 18:00:00
25,97,31,2023-07-01 18:00:00
26,26,29,2023-07-02 05:00:00
27,20,30,2023-07-02 12:00:00
28,66,30,2023-07-02 12:00:00
29,98,30,2023-07-02 12:00:00
30,19,32,2023-07-02 17:00:00
31,45,32,2023-07-02 17:00:00
32,46,32,2023-07-02 17:00:00
33,58,32,2023-07-02 17:00:00
34,61,32,2023-07-02 17:00:00
35,70,32,2023-07-02 17:00:00
36,16,2,2023-07-02 19:00:00
37,19,2,2023-07-02 19:00:00
38,70,2,2023-07-02 19:00:00
39,90,2,2023-07-02 19:00:00
40,15,19,2023-07-03 10:00:00
41,43,3,2023-07-03 10:00:00
42,47,3,2023-07-03 10:00:00
43,50,3,2023-07-03 10:00:00
44,71,3,2023-07-03 10:00:00
45,81,3,2023-07-03 10:00:00
46,85,3,2023-07-03 10:00:00
47,98,3,2023-07-03 10:00:00
48,100,19,2023-07-03 10:00:00
49,2,20,2023-07-03 18:00:00
50,15,20,2023-07-03 18:00:00
51,49,20,2023-07-03 18:00:00
52,61,20,2023-07-03 18:00:00
53,64,20,2023-07-03 18:00:00
54,65,20,2023-07-03 18:00:00
55,70,20,2023-07-03 18:00:00
56,71,20,2023-07-03 18:00:00
57,72,20,2023-07-03 18:00:00
58,90,20,2023-07-03 18:00:00
59,91,20,2023-07-03 18:00:00
60,3,25,2023-07-03 18:30:00
61,7,25,2023-07-03 18:30:00
62,15,25,2023-07-03 18:30:00
63,16,25,2023-07-03 18:30:00
64,37,25,2023-07-03 18:30:00
65,46,25,2023-07-03 18:30:00
66,64,25,2023-07-03 18:30:00
67,65,25,2023-07-03 18:30:00
68,70,25,2023-07-03 18:30:00
69,72,25,2023-07-03 18:30:00
70,90,25,2023-07-03 18:30:00
71,91,25,2023-07-03 18:30:00
72,97,25,2023-07-03 18:30:00
73,2,23,2023-07-04 07:00:00
74,9,23,2023-07-04 07:00:00
75,15,23,2023-07-04 07:00:00
76,18,23,2023-07-04 07:00:00
77,19,5,2023-07-04 07:00:00
78,19,23,2023-07-04 07:00:00
79,34,23,2023-07-04 07:00:00
80,46,23,2023-07-04 07:00:00
81,51,5,2023-07-04 07:00:00
82,54,5,2023-07-04 07:00:00
83,65,5,2023-07-04 07:00:00
84,70,5,2023-07-04 07:00:00
85,80,23,2023-07-04 07:00:00
86,82,23,2023-07-04 07:00:00
87,84,23,2023-07-04 07:00:00
88,91,23,2023-07-04 07:00:00
89,94,5,2023-07-04 07:00:00
90,96,5,2023-07-04 07:00:00
91,96,23,2023-07-04 07:00:00
92,5,4,2023-07-04 10:00:00
93,6,4,2023-07-04 10:00:00
94,9,18,2023-07-04 10:00:00
95,11,18,2023-07-04 10:00:00
96,16,17,2023-07-04 10:00:00
97,19,18,2023-07-04 10:00:00
98,31,4,2023-07-04 10:00:00
99,46,4,2023-07-04 10:00:00
100,49,4,2023-07-04 10:00:00
101,52,4,2023-07-04 10:00:00
102,58,4,2023-07-04 10:00:00
103,61,18,2023-07-04 10:00:00
104,64,4,2023-07-04 10:00:00
105,69,4,2023-07-04 10:00:00
106,71,4,2023-07-04 10:00:00
107,72,4,2023-07-04 10:00:00
108,80,18,2023-07-04 10:00:00
109,84,18,2023-07-04 10:00:00
110,89,4,2023-07-04 10:00:00
111,90,18,2023-07-04 10:00:00
112,91,4,2023-07-04 10:00:00
113,91,18,2023-07-04 10:00:00
114,96,18,2023-07-04 10:00:00
115,2,15,2023-07-09 10:00:00
116,5,15,2023-07-09 10:00:00
117,13,15,2023-07-09 10:00:00
118,37,15,2023-07-09 10:00:00
119,40,15,2023-07-09 10:00:00
120,46,15,2023-07-09 10:00:00
121,47,15,2023-07-09 10:00:00
122,51,15,2023-07-09 10:00:00
123,61,15,2023-07-09 10:00:00
124,64,15,2023-07-09 10:00:00
125,65,15,2023-07-09 10:00:00
126,70,15,2023-07-09 10:00:00
127,71,15,2023-07-09 10:00:00
128,72,15,2023-07-09 10:00:00
129,80,15,2023-07-09 10:00:00
